Species	byUser	byPost	meanLikes	medianLikes	maxLikes	meanComments	medianComments	maxComments	genus	sub.family	status
Myrmecia_gulosa	4	11	105.45	90	231	4.45	3	15	Myrmecia	Myrmeciinae	native
Myrmecia_nigriscapa	4	5	127.4	80	265	4.4	6	8	Myrmecia	Myrmeciinae	native
Myrmecia_tarsata	4	21	151.67	130	278	5.57	4	14	Myrmecia	Myrmeciinae	native
Myrmica_incompleta	4	15	33.27	30	96	0.67	0	6	Myrmica	Myrmicinae	native
Myrmica_specioides	4	4	63	60.5	91	0.75	0.5	2	Myrmica	Myrmicinae	alien
Odontomachus_hastatus	4	4	268.25	256.5	488	5.75	6.5	7	Odontomachus	Ponerinae	native
Odontomachus_rixosus	4	10	51.7	41.5	113	1.6	1	4	Odontomachus	Ponerinae	native
Pheidole_flaveria	4	6	36	31.5	65	0.83	0	3	Pheidole	Myrmicinae	native
Pheidole_nodus	4	10	45.9	41	88	1.3	0.5	6	Pheidole	Myrmicinae	native
Polyrhachis_armata	4	8	139.13	111.5	259	7.75	5	32	Polyrhachis	Formicinae	native
Polyrhachis_illaudata	4	8	160.38	172	266	4	3	9	Polyrhachis	Formicinae	native
Polyrhachis_rufifemur	4	20	94.85	95.5	183	2.05	1.5	9	Polyrhachis	Formicinae	native
Pristomyrmex_punctatus	4	10	43.5	46.5	65	2.2	2	7	Pristomyrmex	Myrmicinae	native
Pseudomyrmex_gracilis	4	5	31.4	32	33	0.8	1	2	Pseudomyrmex	Pseudomyrmecinae	alien
Solenopsis_latastei	4	4	23.5	22.5	31	0.5	0	2	Solenopsis	Myrmicinae	native
Solenopsis_xyloni	4	10	136.9	154.5	230	7.2	5.5	28	Solenopsis	Myrmicinae	native
Tapinoma_erraticum	4	13	31.46	25	76	1.23	0	9	Tapinoma	Dolichoderinae	native
Temnothorax_curvispinosus	4	20	91.65	95.5	194	1.6	1	7	Temnothorax	Myrmicinae	native
Tetramorium_simillimum	4	4	62.75	38	162	1.25	1	3	Tetramorium	Myrmicinae	alien
Acromyrmex_coronatus	3	5	86	94	115	2.6	2	7	Acromyrmex	Myrmicinae	native
Aphaenogaster_tennesseensis	3	6	94.17	107	121	3.5	3	8	Aphaenogaster	Myrmicinae	native
Azteca_isthmica	3	5	95.4	95	139	5	3	16	Azteca	Dolichoderinae	native
Brachymyrmex_patagonicus	3	14	102.07	105.5	184	4.07	2.5	15	Brachymyrmex	Formicinae	alien
Brachyponera_lutea	3	4	70.5	71.5	127	0.75	0	3	Brachyponera	Ponerinae	native
Calomyrmex_albertisi	3	7	91.86	86	122	2.29	2	7	Calomyrmex	Formicinae	native
Camponotus_conspicuus_inaequalis	3	11	61.27	62	77	1.45	1	3	Camponotus	Formicinae	native
Camponotus_cosmicus	3	4	49.25	40	113	2	1.5	5	Camponotus	Formicinae	native
Camponotus_inconspicuus	3	4	37.5	33	59	1.25	1	3	Camponotus	Formicinae	native
Camponotus_intrepidus	3	3	130	74	307	9.33	3	25	Camponotus	Formicinae	native
Camponotus_kiusiuensis	3	3	50	57	69	0.33	0	1	Camponotus	Formicinae	native
Camponotus_laevigatus	3	4	49.25	33	105	2.75	0	11	Camponotus	Formicinae	native
Camponotus_largiceps	3	3	26.33	28	32	0	0	0	Camponotus	Formicinae	native
Camponotus_lindigi	3	5	26.6	34	42	1.4	0	5	Camponotus	Formicinae	native
Camponotus_obscuripes	3	251	58.28	58	157	2.18	1	16	Camponotus	Formicinae	alien
Camponotus_piceus	3	3	51.67	41	74	1	0	3	Camponotus	Formicinae	native
Camponotus_siemsseni	3	5	21.6	25	28	0.4	0	2	Camponotus	Formicinae	native
Camponotus_tortuganus	3	8	16.38	16.5	25	1.13	0	6	Camponotus	Formicinae	native
Cataglyphis_velox	3	10	154.3	153.5	287	2.1	1.5	7	Cataglyphis	Formicinae	native
Cephalotes_atratus	3	3	82.33	78	98	0.67	1	1	Cephalotes	Myrmicinae	native
Cephalotes_varians	3	3	74.67	39	169	1	1	1	Cephalotes	Myrmicinae	native
Colobopsis_impressa	3	4	83.75	62.5	166	5	4	12	Colobopsis	Formicinae	native
Daceton_armigerum	3	5	233.8	149	539	9.6	6	29	Daceton	Myrmicinae	native
Dorymyrmex_insanus	3	3	94.33	88	151	1.33	0	4	Dorymyrmex	Dolichoderinae	native
Ectomomyrmex_leeuwenhoeki	3	8	78.13	57.5	209	1.63	0	7	Ectomomyrmex	Ponerinae	native
